CustomerID,Recency,Frequency,Moneytaryvalue,Rscore,Fscore,Mscore,Label,Score,Cluster
12346,326,1,0.0,1,1,1,1.01.01.0,3,1
12347,3,7,4309.999999999997,4,4,4,4.04.04.0,12,0
12348,76,4,1797.24,2,3,4,2.03.04.0,9,3
12349,19,1,1757.55,3,1,4,3.01.04.0,8,3
12350,311,1,334.40000000000003,1,1,2,1.01.02.0,4,2
12352,37,7,1545.4100000000005,3,4,3,3.04.03.0,10,0
12353,205,1,89.0,1,1,1,1.01.01.0,3,1
12354,233,1,1079.4,1,1,3,1.01.03.0,5,2
12355,215,1,459.4,1,1,2,1.01.02.0,4,2
12356,23,3,2811.4300000000007,3,2,4,3.02.04.0,9,3
12357,34,1,6207.669999999996,3,1,4,3.01.04.0,8,3
12358,2,2,1168.06,4,1,3,4.01.03.0,8,4
12359,8,6,6182.980000000006,4,3,4,4.03.04.0,11,0
12360,53,3,2662.0600000000004,2,2,4,2.02.04.0,8,3
12361,288,1,189.89999999999998,1,1,1,1.01.01.0,3,1
12362,4,13,5154.580000000002,4,4,4,4.04.04.0,12,0
12363,110,2,552.0,2,1,2,2.01.02.0,5,2
12364,8,4,1313.1000000000001,4,3,3,4.03.03.0,10,0
12365,292,1,320.69,1,1,2,1.01.02.0,4,2
12367,5,1,168.9,4,1,1,4.01.01.0,6,4
12370,52,4,3541.939999999998,2,3,4,2.03.04.0,9,3
12371,45,2,1887.9600000000003,3,1,4,3.01.04.0,8,3
12372,72,3,1298.0400000000002,2,2,3,2.02.03.0,7,3
12373,312,1,364.6,1,1,2,1.01.02.0,4,2
12374,26,1,742.93,3,1,3,3.01.03.0,7,4
12375,3,3,455.42000000000013,4,2,2,4.02.02.0,8,4
12377,316,2,1628.1199999999997,1,1,4,1.01.04.0,6,2
12378,130,1,4008.6200000000013,2,1,4,2.01.04.0,7,2
12379,82,3,850.2899999999996,2,2,3,2.02.03.0,7,3
12380,22,5,2720.56,3,3,4,3.03.04.0,10,0
12381,5,6,1803.9600000000005,4,3,4,4.03.04.0,11,0
12383,185,6,1839.3099999999997,1,3,4,1.03.04.0,8,3
12384,29,3,566.16,3,2,2,3.02.02.0,7,4
12386,338,2,401.90000000000003,1,1,2,1.01.02.0,4,2
12388,16,6,2780.6600000000003,4,3,4,4.03.04.0,11,0
12390,80,1,549.8399999999999,2,1,2,2.01.02.0,5,2
12391,22,1,439.65999999999997,3,1,2,3.01.02.0,6,4
12393,73,4,1582.6000000000004,2,3,3,2.03.03.0,8,3
12394,64,2,1272.48,2,1,3,2.01.03.0,6,2
12395,16,14,2998.279999999999,4,4,4,4.04.04.0,12,0
12397,36,2,2409.9000000000005,3,1,4,3.01.04.0,8,3
12398,46,1,1635.6599999999999,3,1,4,3.01.04.0,8,3
12399,120,4,1108.65,2,3,3,2.03.03.0,8,3
12401,304,1,84.3,1,1,1,1.01.01.0,3,1
12402,324,1,225.6,1,1,1,1.01.01.0,3,1
12403,50,1,409.7,3,1,2,3.01.02.0,6,4
12405,149,1,1710.3900000000006,1,1,4,1.01.04.0,6,2
12406,23,3,3280.7500000000014,3,2,4,3.02.04.0,9,3
12407,50,5,1708.1199999999997,3,3,4,3.03.04.0,10,0
12408,33,7,2842.57,3,4,4,3.04.04.0,11,0
12409,79,4,11056.930000000004,2,3,4,2.03.04.0,9,3
12410,302,2,681.0799999999999,1,1,3,1.01.03.0,5,2
12412,75,3,1226.8799999999999,2,2,3,2.02.03.0,7,3
12413,67,4,694.15,2,3,3,2.03.03.0,8,3
12414,218,3,562.41,1,2,2,1.02.02.0,5,2
12415,25,18,123725.44999999987,3,4,4,3.04.04.0,11,0
12417,4,12,3578.8,4,4,4,4.04.04.0,12,0
12418,113,1,668.5799999999997,2,1,3,2.01.03.0,6,2
12420,64,1,600.3900000000001,2,1,2,2.01.02.0,5,2
12421,16,4,806.2700000000002,4,3,3,4.03.03.0,10,0
12422,96,3,803.5599999999998,2,2,3,2.02.03.0,7,3
12423,1,9,1849.1100000000001,4,4,4,4.04.04.0,12,0
12424,163,1,1760.9599999999998,1,1,4,1.01.04.0,6,2
12425,79,1,777.1999999999999,2,1,3,2.01.03.0,6,2
12426,195,1,582.7299999999999,1,1,2,1.01.02.0,4,2
12427,12,5,708.3700000000001,4,3,3,4.03.03.0,10,0
12428,26,10,7877.200000000004,3,4,4,3.04.04.0,11,0
12429,10,4,3750.400000000001,4,3,4,4.03.04.0,11,0
12430,44,1,256.4,3,1,1,3.01.01.0,5,4
12431,36,16,6348.889999999999,3,4,4,3.04.04.0,11,0
12432,43,3,5059.3200000000015,3,2,4,3.02.04.0,9,3
12433,1,6,13375.869999999992,4,3,4,4.03.04.0,11,0
12434,85,4,765.1899999999999,2,3,3,2.03.03.0,8,3
12435,80,2,7829.8899999999985,2,1,4,2.01.04.0,7,2
12436,100,1,509.01000000000005,2,1,2,2.01.02.0,5,2
12437,2,16,4896.659999999998,4,4,4,4.04.04.0,12,0
12438,15,2,2906.8500000000004,4,1,4,4.01.04.0,9,4
12441,367,1,173.55,1,1,1,1.01.01.0,3,1
12442,4,1,172.06,4,1,1,4.01.01.0,6,4
12444,22,5,5005.46,3,3,4,3.03.04.0,10,0
