customer_id,monetary_DNN,monetary_btyd,frequency_DNN,frequency_btyd,recency,t,time_between,avg_basket_value,avg_basket_size,cnt_returns,has_returned,frequency_btyd_clipped,monetary_btyd_clipped,target_monetary_clipped,target_monetary
12347,2790.86,519.7675,5,4,238,268,47.0,558.17,318.0,0,0,4,519.77,4310.0,4310.0
12348,1487.24,297.22,3,2,110,259,36.0,495.75,708.0,0,0,2,297.22,1797.24,1797.24
12352,601.18,101.56,4,3,34,197,8.0,150.3,47.0,0,0,3,101.56,1545.41,1545.41
12356,2753.08,481.46,2,1,80,226,40.0,1376.54,793.0,0,0,1,481.46,2811.43,2811.43
12359,3459.93,970.81,4,3,142,232,35.0,864.98,240.25,1,1,3,970.81,6245.53,6245.53
12360,1618.28,534.7,2,1,88,101,44.0,809.14,337.0,0,0,1,534.7,2662.06,2662.06
12362,1724.55,249.09,6,5,183,196,30.0,287.43,163.0,2,1,5,249.09,5154.58,5154.58
12363,552.0,252.9,2,1,133,143,66.0,276.0,204.0,0,0,1,252.9,552.0,552.0
12370,2806.41,607.795,3,2,86,261,28.0,935.47,657.67,0,0,2,607.8,3545.69,3545.69
12372,914.92,515.7,2,1,84,197,42.0,457.46,296.0,0,0,1,515.7,1298.04,1298.04
12388,1668.34,412.3466666666666,4,3,178,227,44.0,417.09,190.0,0,0,3,412.35,2780.66,2780.66
12393,1061.1,299.3,3,2,87,233,29.0,353.7,174.0,0,0,2,299.3,1582.6,1582.6
12395,1881.77,170.63,10,9,259,272,25.0,188.18,162.5,2,1,9,170.63,2998.28,2998.28
12399,1108.65,273.5333333333333,4,3,142,162,35.0,277.16,294.5,0,0,3,273.53,1108.65,1108.65
12407,1407.36,393.68666666666667,4,3,130,165,32.0,351.84,309.25,0,0,3,393.69,1708.12,1708.12
12408,1460.79,155.8,5,4,97,161,19.0,292.16,145.0,3,1,4,155.8,2842.57,2842.57
12412,890.74,376.24,2,1,32,70,16.0,445.37,299.5,0,0,1,376.24,1226.88,1226.88
12413,499.95,37.35,3,2,101,238,33.0,166.65,67.0,1,1,2,37.35,694.15,694.15
12415,101335.53,8574.922727272726,12,11,238,238,19.0,8444.63,5539.5,1,1,11,8574.92,100000.0,123725.45
12417,2766.17,309.35375,9,8,251,258,27.0,307.35,135.22,2,1,8,309.35,3578.8,3578.8
12421,627.79,235.17,3,2,205,220,68.0,209.26,135.33,0,0,2,235.17,806.27,806.27
12422,655.86,417.36,2,1,156,225,78.0,327.93,144.0,0,0,1,417.36,803.56,803.56
12423,1650.67,235.45666666666665,7,6,253,254,36.0,235.81,162.29,0,0,6,235.46,1849.11,1849.11
12428,7468.86,312.455,9,8,175,184,19.0,829.87,372.56,3,1,8,312.46,7877.2,7877.2
